symbol,fiscal_year,dividend_pct
LLBS,077-078,7.37
LLBS,078-079,5.0
LSL,079-080,0.37
LSL,080-081,0.26
LSL,081-082,0.53
MANDU,079-080,10.0
MANDU,080-081,12.0
MANDU,081-082,0.53
MBL,070-071,0.0
MBL,071-072,2.0
MBL,072-073,10.0
MBL,074-075,10.0
MBL,076-077,3.37
MBL,077-078,0.7
MBL,079-080,0.7
MBL,081-082,4.0
MDB,067-068,10.53
MDB,068-069,1.05
MDB,069-070,5.0
MDB,070-071,1.32
MDB,071-072,2.0
MDB,072-073,1.58
MDB,073-074,1.66
MDB,074-075,0.89
MDB,075-076,0.98
MDB,076-077,0.79
MDB,077-078,0.7
MDB,078-079,0.65
MDB,079-080,0.5
MDB,080-081,0.5
MDB,081-082,10.0
MEN,078-079,10.53
MEN,079-080,0.79
MEN,080-081,0.79
MEN,081-082,1.05
MERO,072-073,10.0
MERO,073-074,12.11
MERO,074-075,11.32
MERO,075-076,1.58
MERO,076-077,0.89
MERO,077-078,1.05
MERO,078-079,10.0
MERO,080-081,0.39
MERO,081-082,0.25
MFIL,068-069,8.0
MFIL,070-071,7.5
MFIL,071-072,0.6
MFIL,072-073,0.74
MFIL,073-074,1.0
MFIL,074-075,9.0
MFIL,075-076,0.0
MFIL,076-077,5.5
MFIL,077-078,6.0
MFIL,079-080,5.26
MFIL,080-081,6.35
MFIL,081-082,15.0
MHL,078-079,5.0
MHL,079-080,0.25
MHL,080-081,0.26
MKCL,079-080,1.0
MKCL,081-082,0.42
MKHL,078-079,10.0
MKJC,079-080,0.12
MLBBL,070-071,1.05
MLBBL,071-072,2.0
MLBBL,072-073,0.66
MLBBL,073-074,0.78
MLBBL,074-075,0.55
MLBBL,075-076,0.0
MLBBL,076-077,0.63
MLBBL,077-078,1.32
MLBBL,078-079,0.79
MLBBL,080-081,0.75
MLBBL,081-082,0.75
MLBL,073-074,9.0
MLBL,074-075,7.0
MLBL,075-076,0.0
MLBL,076-077,0.46
MLBL,077-078,1.05
MLBL,078-079,6.47
MLBL,079-080,6.4
MLBL,080-081,4.0
MLBL,081-082,5.37
MLBSL,077-078,2.5
MLBSL,078-079,2.5
MNBBL,067-068,25.0
MNBBL,068-069,27.5
MNBBL,069-070,7.5
MNBBL,070-071,2.0
MNBBL,071-072,50.0
MNBBL,072-073,2.0
MNBBL,073-074,1.05
MNBBL,074-075,0.96
MNBBL,075-076,0.0
MNBBL,076-077,4.26
MNBBL,077-078,0.93
MNBBL,078-079,0.71
MNBBL,079-080,0.51
MNBBL,081-082,4.67
MPFL,068-069,10.0
MPFL,075-076,1.0
MPFL,077-078,0.68
MPFL,080-081,1.0
MSHL,081-082,0.79
MSLB,073-074,10.0
MSLB,074-075,1.05
MSLB,075-076,2.0
MSLB,076-077,1.05
MSLB,078-079,0.75
MSLB,081-082,0.25
NABBC,078-079,1.0
NABBC,082-083,1.0
NABIL,067-068,30.0
NABIL,068-069,40.0
NABIL,069-070,40.0
NABIL,070-071,0.0
NABIL,071-072,6.84
NABIL,072-073,15.0
NABIL,073-074,18.0
NABIL,074-075,0.0
NABIL,075-076,0.0
NABIL,076-077,1.76
NABIL,077-078,4.4
NABIL,078-079,11.5
NABIL,079-080,11.0
NABIL,080-081,10.0
NABIL,081-082,12.5
NADEP,074-075,1.58
NADEP,075-076,0.53
NADEP,077-078,1.05
NADEP,078-079,0.0
NBL,071-072,1.0
NBL,072-073,100.0
NBL,075-076,10.0
NBL,076-077,4.0
NBL,077-078,3.0
NBL,078-079,10.0
NESDO,078-079,17.93
NESDO,080-081,0.75
NFS,066-067,1.42
NFS,067-068,1.16
NFS,077-078,1.0
NFS,078-079,1.0
NGPL,072-073,5.0
NGPL,073-074,0.53
NGPL,074-075,10.0
NGPL,075-076,10.0
NGPL,076-077,0.53
NGPL,077-078,1.05
NGPL,078-079,1.0
NGPL,081-082,1.0
NHDL,074-075,0.21
NHDL,076-077,0.79
NHDL,077-078,0.37
NHDL,078-079,0.26
NHDL,079-080,0.37
NHDL,080-081,0.42
NHDL,081-082,0.47
NHPC,077-078,0.98
NHPC,079-080,10.0
NICA,067-068,20.0
NICA,069-070,20.0
NICA,070-071,0.0
NICA,071-072,0.0
NICA,072-073,1.37
NICA,073-074,1.05
NICA,074-075,0.53
NICA,075-076,11.05
NICA,076-077,1.0
NICA,079-080,1.53
NICL,068-069,1.05
NICL,070-071,1.0
NICL,074-075,1.0
NICL,075-076,2.89
NICL,076-077,2.0
NICL,077-078,0.58
NICL,078-079,0.42
NICL,079-080,0.53
NICL,080-081,0.79
NICL,081-082,6.32
NICL,082-083,10.0
NICLBSL,077-078,5.42
NICLBSL,078-079,14.75
NICLBSL,079-080,15.0
NIFRA,077-078,0.42
NIFRA,078-079,4.21
NIFRA,079-080,4.21
NIFRA,081-082,6.32
NIL,070-071,0.67
NIL,071-072,0.79
NIL,072-073,1.05
NIL,073-074,1.0
NIL,076-077,0.83
NIL,077-078,0.79
NIL,078-079,0.79
NIL,080-081,0.37
NIL,081-082,12.79
NLG,069-070,11.05
NLG,070-071,6.05
NLG,072-073,1.32
NLG,073-074,1.32
NLG,075-076,0.37
NLG,076-077,0.53
NLG,077-078,0.53
NLG,078-079,0.53
NLG,079-080,0.29
NLG,080-081,0.13
NLG,081-082,10.0
NLIC,068-069,56.31
NLIC,069-070,0.0
NLIC,070-071,8.0
